Order_Number,Line_Item,Order_Date,CustomerKey,StoreKey,ProductKey,Quantity,Currency_Code
366000,1,2016-01-01,265598,10,1304,1,CAD
366001,1,2016-01-01,1269051,0,1048,2,USD
366001,2,2016-01-01,1269051,0,2007,1,USD
366002,1,2016-01-01,266019,0,1106,7,CAD
366002,2,2016-01-01,266019,0,373,1,CAD
366002,3,2016-01-01,266019,0,1080,4,CAD
366004,1,2016-01-01,1107461,38,163,6,GBP
366004,2,2016-01-01,1107461,38,1529,2,GBP
366005,1,2016-01-01,844003,33,421,4,EUR
366007,1,2016-01-01,2035771,43,1617,1,USD
366007,2,2016-01-01,2035771,43,666,5,USD
366008,1,2016-01-01,759705,29,1154,9,EUR
366008,2,2016-01-01,759705,29,2510,1,EUR
366008,3,2016-01-01,759705,29,1060,5,EUR
366009,1,2016-01-01,254540,9,1648,1,CAD
366010,1,2016-01-01,370077,0,618,5,CAD
366011,1,2016-01-01,1984985,66,128,7,USD
366011,2,2016-01-01,1984985,66,1638,1,USD
366011,3,2016-01-01,1984985,66,1634,1,USD
366011,4,2016-01-01,1984985,66,2392,3,USD
366012,1,2016-01-01,1977527,65,1807,1,USD
366012,2,2016-01-01,1977527,65,1594,4,USD
366012,3,2016-01-01,1977527,65,1297,1,USD
366013,1,2016-01-01,1187306,41,1654,5,GBP
366014,1,2016-01-01,738549,0,123,1,EUR
366014,2,2016-01-01,738549,0,1700,2,EUR
366016,1,2016-01-01,1982762,63,1253,7,USD
367000,1,2016-01-02,1438050,56,1176,1,USD
367003,1,2016-01-02,980164,40,153,2,GBP
367004,1,2016-01-02,1853699,56,136,1,USD
367004,2,2016-01-02,1853699,56,1637,4,USD
367005,1,2016-01-02,758280,0,1691,1,EUR
367005,2,2016-01-02,758280,0,319,2,EUR
367005,3,2016-01-02,758280,0,1674,8,EUR
367005,4,2016-01-02,758280,0,2511,9,EUR
367005,5,2016-01-02,758280,0,1720,2,EUR
367005,6,2016-01-02,758280,0,1597,7,EUR
367005,7,2016-01-02,758280,0,784,1,EUR
367006,1,2016-01-02,693285,18,2445,3,EUR
367007,1,2016-01-02,1730985,57,65,7,USD
367007,2,2016-01-02,1730985,57,1432,9,USD
367008,1,2016-01-02,763246,28,1951,3,EUR
367009,1,2016-01-02,1512558,57,934,1,USD
367009,2,2016-01-02,1512558,57,930,8,USD
367009,3,2016-01-02,1512558,57,1436,5,USD
367009,4,2016-01-02,1512558,57,1547,3,USD
367009,5,2016-01-02,1512558,57,53,5,USD
367010,1,2016-01-02,1322959,66,917,1,USD
367010,2,2016-01-02,1322959,66,39,1,USD
367011,1,2016-01-02,507981,22,39,1,EUR
367012,1,2016-01-02,209990,9,1653,5,CAD
367012,2,2016-01-02,209990,9,145,3,CAD
367013,1,2016-01-02,815458,31,1733,2,EUR
367013,2,2016-01-02,815458,31,41,6,EUR
367014,1,2016-01-02,1839627,56,1184,3,USD
367015,1,2016-01-02,911025,42,2296,7,GBP
367016,1,2016-01-02,1633409,63,1487,1,USD
367016,2,2016-01-02,1633409,63,558,7,USD
367016,3,2016-01-02,1633409,63,206,3,USD
367017,1,2016-01-02,1612400,47,1203,4,USD
367018,1,2016-01-02,1301565,59,1245,2,USD
367018,2,2016-01-02,1301565,59,1973,4,USD
367018,3,2016-01-02,1301565,59,731,4,USD
367019,1,2016-01-02,793573,29,1947,2,EUR
367019,2,2016-01-02,793573,29,1645,7,EUR
367019,3,2016-01-02,793573,29,371,7,EUR
367020,1,2016-01-02,799366,29,448,6,EUR
367020,2,2016-01-02,799366,29,1975,1,EUR
367021,1,2016-01-02,243917,10,1445,4,CAD
367021,2,2016-01-02,243917,10,1624,6,CAD
367021,3,2016-01-02,243917,10,1615,2,CAD
367022,1,2016-01-02,942807,42,1596,1,GBP
367022,2,2016-01-02,942807,42,1253,7,GBP
367022,3,2016-01-02,942807,42,663,3,GBP
367022,4,2016-01-02,942807,42,1194,6,GBP
367023,1,2016-01-02,129318,2,1139,5,AUD
367023,2,2016-01-02,129318,2,1031,2,AUD
367024,1,2016-01-02,1713253,50,302,8,USD
367024,2,2016-01-02,1713253,50,2105,5,USD
367025,1,2016-01-02,1736623,56,1608,1,USD
367025,2,2016-01-02,1736623,56,1641,2,USD
367025,3,2016-01-02,1736623,56,1574,3,USD
367026,1,2016-01-02,1836599,53,2218,2,USD
367026,2,2016-01-02,1836599,53,78,1,USD
367027,1,2016-01-02,1482586,53,2451,3,USD
367027,2,2016-01-02,1482586,53,1645,1,USD
367027,3,2016-01-02,1482586,53,1728,2,USD
367028,1,2016-01-02,607356,0,976,1,EUR
367028,2,2016-01-02,607356,0,2017,3,EUR
367029,1,2016-01-02,1260533,66,1607,1,USD
367029,2,2016-01-02,1260533,66,1223,7,USD
367030,1,2016-01-02,1843882,51,2010,7,USD
367030,2,2016-01-02,1843882,51,426,1,USD
367031,1,2016-01-02,909014,0,120,3,GBP
367031,2,2016-01-02,909014,0,382,2,GBP
367031,3,2016-01-02,909014,0,1722,3,GBP
367031,4,2016-01-02,909014,0,132,1,GBP
368000,1,2016-01-03,892838,32,1440,1,EUR
368001,1,2016-01-03,1670789,64,1598,3,USD
369000,1,2016-01-04,1143828,37,2167,9,GBP
369000,2,2016-01-04,1143828,37,167,1,GBP
369001,1,2016-01-04,269337,8,1301,1,CAD
369001,2,2016-01-04,269337,8,1649,4,CAD
369002,1,2016-01-04,258316,8,1656,1,CAD
369004,1,2016-01-04,1389462,65,1961,5,USD
369004,2,2016-01-04,1389462,65,1991,3,USD
369005,1,2016-01-04,1866637,56,183,3,USD
369006,1,2016-01-04,734605,28,654,1,EUR
369007,1,2016-01-04,571622,20,2510,3,EUR
369007,2,2016-01-04,571622,20,2103,1,EUR
369007,3,2016-01-04,571622,20,1578,3,EUR
369011,1,2016-01-04,1664824,0,1261,2,USD
369012,1,2016-01-04,1696695,0,1423,3,USD
369012,2,2016-01-04,1696695,0,1656,1,USD
369012,3,2016-01-04,1696695,0,1660,2,USD
369012,4,2016-01-04,1696695,0,1610,6,USD
370000,1,2016-01-05,2032025,51,1360,4,USD
370000,2,2016-01-05,2032025,51,1158,4,USD
370000,3,2016-01-05,2032025,51,457,2,USD
370001,1,2016-01-05,1884908,61,1107,3,USD
370001,2,2016-01-05,1884908,61,1591,3,USD
370001,3,2016-01-05,1884908,61,1544,7,USD
370003,1,2016-01-05,2092033,66,836,8,USD
370003,2,2016-01-05,2092033,66,1529,3,USD
370004,1,2016-01-05,1473090,43,1251,2,USD
370005,1,2016-01-05,584095,24,1610,2,EUR
370005,2,2016-01-05,584095,24,1594,4,EUR
370006,1,2016-01-05,661636,16,1272,6,EUR
370007,1,2016-01-05,623659,15,267,1,EUR
370007,2,2016-01-05,623659,15,126,7,EUR
370008,1,2016-01-05,183264,4,2105,1,AUD
370010,1,2016-01-05,1393738,48,1709,3,USD
370010,2,2016-01-05,1393738,48,2113,10,USD
370010,3,2016-01-05,1393738,48,2088,2,USD
370011,1,2016-01-05,1522590,47,32,2,USD
370012,1,2016-01-05,1780669,53,1585,3,USD
370012,2,2016-01-05,1780669,53,1689,2,USD
370013,1,2016-01-05,5097,6,5,2,AUD
370014,1,2016-01-05,1475886,51,1622,2,USD
370014,2,2016-01-05,1475886,51,2110,1,USD
370014,3,2016-01-05,1475886,51,1694,2,USD
371000,1,2016-01-06,728834,30,81,2,EUR
371001,1,2016-01-06,76021,2,77,3,AUD
371001,2,2016-01-06,76021,2,945,2,AUD
371001,3,2016-01-06,76021,2,1033,1,AUD
371001,4,2016-01-06,76021,2,1581,5,AUD
371002,1,2016-01-06,1955971,53,80,4,USD
371002,2,2016-01-06,1955971,53,2171,3,USD
371003,1,2016-01-06,778259,28,1074,6,EUR
371003,2,2016-01-06,778259,28,127,2,EUR
371003,3,2016-01-06,778259,28,333,5,EUR
371003,4,2016-01-06,778259,28,1627,4,EUR
371003,5,2016-01-06,778259,28,64,1,EUR
371003,6,2016-01-06,778259,28,1997,3,EUR
371004,1,2016-01-06,1378439,0,1305,8,USD
371005,1,2016-01-06,1923558,48,58,1,USD
371005,2,2016-01-06,1923558,48,32,7,USD
371006,1,2016-01-06,1501383,0,1279,1,USD
371007,1,2016-01-06,1378439,0,1639,1,USD
371008,1,2016-01-06,2053617,50,961,1,USD
371008,2,2016-01-06,2053617,50,1626,7,USD
371010,1,2016-01-06,1716584,53,2491,5,USD
371010,2,2016-01-06,1716584,53,1631,7,USD
371011,1,2016-01-06,776266,0,458,5,EUR
371011,2,2016-01-06,776266,0,1573,3,EUR
371011,3,2016-01-06,776266,0,32,5,EUR
371012,1,2016-01-06,363872,8,147,1,CAD
371012,2,2016-01-06,363872,8,1576,1,CAD
371012,3,2016-01-06,363872,8,1642,3,CAD
371014,1,2016-01-06,1161615,40,89,4,GBP
371014,2,2016-01-06,1161615,40,337,3,GBP
371015,1,2016-01-06,1669745,0,1679,5,USD
371015,2,2016-01-06,1669745,0,1659,1,USD
